"","Monoglobus","Sutterella","Marvinbryantia","Alloprevotella","Eubacterium","Catenibacterium","Romboutsia","Cronobacter","Fournierella","Veillonella","Bacteroides","Yersinia","Anaerostipes","Desulfovibrio","Gemmiger","Mannheimia","Flavonifractor","Bifidobacterium","Lactococcus","Parasutterella","Coprococcus","Rothia","Faecalibacterium","Oribacterium","Butyrivibrio","Succinivibrio","Serratia","Alistipes","Enterococcus","Lactobacillus","Parabacteroides","Shewanella","Dorea","Megamonas","Leclercia","Granulicatella","Akkermansia","Slackia","Oscillibacter","Bilophila","Acidaminococcus","Streptococcus","Lachnoclostridium","Pseudoflavonifractor","Clostridium","Butyricimonas","Paraprevotella","Fusicatenibacter","Oxalobacter","Enterobacter","Providencia","Collinsella","Comamonas","Blautia","Klebsiella","Citrobacter","Herbaspirillum","Kluyvera","Lachnobacterium","Agathobacter","Odoribacter","Prevotella","Pseudobutyrivibrio","Dialister","Sphingomonas","Butyricicoccus","Ruminococcus","Megasphaera","Roseburia","Turicibacter","Haemophilus","Phascolarctobacterium","Avibacterium","Barnesiella","Atopobium","Peptococcus","Mitsuokella","Allisonella","Selenomonas","Olsenella"
"Validation.UMCG8089650",0.000959108067507612,0.00170936075603871,0.000320377576887013,0.000463891140723871,0.000159893738760882,0.000809130617154769,0.00164603168594367,1.65699613753324e-05,0.00109058092848317,0.00646856831036444,0.065533268521858,2.00425201317762e-05,0.0187618377720805,0.000230535784129634,0.00960972490194238,1.6005832247538e-06,0.00497672725554061,0.0400245226258403,0.000438426544577612,0.00173439597300832,0.00126956765915465,0.000215529050725874,0.0401986159740524,0.000127566736263344,8.31308430845412e-05,3.78114552494227e-05,2.87159886630958e-05,0.0186207248213873,0.000167495964478209,0.00682128458897052,0.0154287322713716,4.86388332207013e-06,0.00207890173334398,0.00123083485433866,2.90112214827073e-05,0.000174724158246078,0.0127305403026374,1.29959918250129e-05,1.63455493193252e-05,0.00150512971995278,0.0042260786153642,0.0193936024772391,2.19200158932652e-05,0.00015427005252321,0.00641654974514287,0.000684223396829714,0.000718577406742983,0.0146754885543044,0.000205862713839293,0.00165713289577008,1.70523247546715e-05,0.0203311448651632,6.2339070217808e-06,0.015376567380745,0.00948975732646548,0.000753357284271824,3.5213560176246e-06,0.000149842579912143,5.82604035560215e-06,0.041545342909103,0.00174535151575231,0.0159917001032177,3.78725566287964e-05,0.00906824364094864,1.83778663457058e-05,0.000532980494226765,0.000232520549191696,0.00273368179268994,0.0116677931353966,0.000498733025716642,0.000124353793927542,0.00179918753201559,1.52934250478037e-06,0.00137836784966582,3.10648304448239e-06,6.42239485935709e-05,1.20816082477948e-05,0.000180871116417722,8.07180278885092e-07,3.41372103151804e-06
